INDEX,DISTRICT,INSTITUTE,DESIGNATION,VACANCIES,IS_DH,DESIG_GROUP
104,COLOMBO,COLOMBO RDHS,MO RELIEF,1,NO,MO Relief
181,KALUTARA,HORANA DGH,MO MEDICO LEGAL,1,NO,MO Medico Legal
124,GAMPAHA,KALAGEDIHENA PMCU,Mo,1,NO,MO
185,KALUTARA,PIMBURA BH,MO PAEDIATRICS,1,NO,MO Paediatrics
123,GAMPAHA,ANDIAMBALAMA PMCU,Mo,1,NO,MO
186,KALUTARA,WARAKAGODA PMCU,MO,1,NO,MO
218,KEGALLE,WARAKAPOLA BH,MO GYN & OBS,1,NO,MO GYN & OBS
217,KEGALLE,MAWANELLA BH,MO EYE,1,NO,MO Eye
108,GALLE,ELPITIYA BH,MO ETU,1,NO,MO OPD / ETU
109,GALLE,ELPITIYA BH,Mo OPD,1,NO,MO OPD / ETU
110,GALLE,ELPITIYA BH,SHO SURGERY,1,NO,SHO Surgery
210,KEGALLE,KARAWANELLA BH,MO ANAESTHESIA/ICU,1,NO,MO Anaesthesia / ICU
211,KEGALLE,KARAWANELLA BH,MO GYN & OBS,1,NO,MO GYN & OBS
212,KEGALLE,KARAWANELLA BH,MO SURGERY,1,NO,MO Surgery
213,KEGALLE,KEGALLE DGH,MO PBU,1,NO,MO PBU / SCBU
214,KEGALLE,KEGALLE RDHS,MO RELIEF,1,NO,MO Relief
378,RATNAPURA,EHELIYAGODA BH,MO ETU,1,NO,MO OPD / ETU
105,GALLE,BALAPITIVA BH,MO ETU,1,NO,MO OPD / ETU
106,GALLE,BALAPITIYA BH,MO SCBU,1,NO,MO PBU / SCBU
107,GALLE,BALAPITIYA BH,SHO PAEDIATRICS,1,NO,SHO Paediatrics
111,GALLE,GALLE NATIONAL HOSPITAL,ANESTHESIA,1,NO,MO Anaesthesia / ICU
112,GALLE,GALLE NATIONAL HOSPITAL,MO NEPHROLOGY,1,NO,MO Nephrology
113,GALLE,GALLE NATIONAL HOSPITAL,MO ONCO SURGERY,1,NO,MO Oncology
114,GALLE,GALLE NATIONAL HOSPITAL,MO PAEDIATRICS PULMONOLOGY,1,NO,MO Paediatrics
115,GALLE,GALLE ROHS,MO RELIEF,1,NO,MO Relief
116,GALLE,FOR WOMEN,TEACHING GALLE MO PBU,1,NO,MO PBU / SCBU
118,GALLE,HIKKADUWA DH,MO,1,YES,MO
209,KEGALLE,DERANIYAGALA DH,MO,1,YES,MO
208,KEGALLE,BELIGALA DH,MO,1,YES,MO
389,RATNAPURA,RATHNAPURA RDHS,MO RELIEF,1,NO,MO Relief
390,RATNAPURA,RATHNAPURA TEACHING HOSPITAL,MO ANAESTHESIA/ICU,1,NO,MO Anaesthesia / ICU
391,RATNAPURA,RATHNAPURA TEACHING HOSPITAL,MO NICU,1,NO,MO ICU
392,RATNAPURA,RATHNAPURA TEACHING HOSPITAL,MO PLASTIC SURGERY,1,NO,MO Surgery
393,RATNAPURA,RATHNAPURA TEACHING HOSPITAL,MO VASCULAR SURGERY,1,NO,MO Vascular Surgery
394,RATNAPURA,RATHNAPURA TEACHING HOSPITAL,SHO PAEDIATRICS,1,NO,SHO Paediatrics
216,KEGALLE,MAHAPALLEGAMA DH,MO,1,YES,MO
365,PUTTALAM,MARAWILA BH,MO PBU,1,NO,MO PBU / SCBU
385,RATNAPURA,KOLAMBAGEARA PMCU,Mo,1,NO,MO
191,KANDY,GAMPOLA BH,MO PBU,1,NO,MO PBU / SCBU
201,KANDY,PERADENIYA TEACHING HOSPITAL,MO ORTHOPAEDIC SURGERY,1,NO,MO Orthopaedic
215,KEGALLE,KIRIPORUWA WATTA (ERH) DH,MO,1,YES,MO
278,MATARA,KIRINDA PUHULWELLA DH,MO,1,YES,MO
133,HAMBANTOTA,RANNA DH,Mo.,1,YES,MO
192,KANDY,KANDY NATIONAL HOSPITAL,MO NEPHROLOGY ICU,1,NO,MO Anaesthesia / ICU
193,KANDY,KANDY NATIONAL HOSPITAL,IMO ORTHOPAEDIC SURGERY,1,NO,MO Orthopaedic
194,KANDY,KANDY NATIONAL HOSPITAL,MO VASCULAR SURGERY,2,NO,MO Vascular Surgery
195,KANDY,KANDY NATIONAL HOSPITAL,MO VITREO RETINAL,1,NO,MO Eye
233,KURUNEGALA,KULIYAPITIYA TEACHING HOSPITAL,MO PBU/ PAEDIATICS,1,NO,MO PBU / SCBU
238,KURUNEGALA,MINUWANGETE PMCU,MO,1,NO,MO
280,MATARA,MATARA DGH,MO ORTHOPAEDIC,1,NO,MO Orthopaedic
281,MATARA,MATARA DGH,SHO SURGERY,1,NO,SHO Surgery
361,PUTTALAM,CHILAW DGH,MO ANAESTHESIA/ICU,1,NO,MO Anaesthesia / ICU
362,PUTTALAM,CHILAW DGH,MO CHEMICAL PATHOLOGY,1,NO,MO Pathology / Lab
363,PUTTALAM,CHILAW DGH,MO RADIOLOGY,1,NO,MO Radiology
375,RATNAPURA,BALANGODA BH,MO ANAESTHESIA,1,NO,MO Anaesthesia / ICU
376,RATNAPURA,BALANGODA BH,MO ETU,1,NO,MO OPD / ETU
377,RATNAPURA,BALANGODA BH,MO MEDICO LEGAL,1,NO,MO Medico Legal
125,HAMBANTOTA,BELIATTE DH,Mo,1,YES,MO
279,MATARA,MARAMBA DH,MO,1,YES,MO
138,HAMBANTOTA,WALASMULLA BH,MO ETU,1,NO,MO OPD / ETU
139,HAMBANTOTA,WALASMULLA BH,MO PATHOLOGY,1,NO,MO Pathology / Lab
384,RATNAPURA,KALAWANA BH,MO ETU,1,NO,MO OPD / ETU
120,GALLE,NELUWA DH,Mo,1,YES,MO
121,GALLE,UDUGAMA BH,MO ANAESTHESIA/ICU,1,NO,MO Anaesthesia / ICU
122,GALLE,UDUGAMA 8H,MO GYN & OBS,1,NO,MO GYN & OBS
127,HAMBANTOTA,HAMBANTOTA DGH,MO ANAESTHESIA,1,NO,MO Anaesthesia / ICU
128,HAMBANTOTA,HAMBANTOTA DGH,MO HAEMATOLOGY,1,NO,MO Pathology / Lab
129,HAMBANTOTA,HAMBANTOTA DGH,MO MICROBIOLOGY,1,NO,MO Pathology / Lab
130,HAMBANTOTA,HAMBANTOTA DGH,MO NICU,1,NO,MO ICU
131,HAMBANTOTA,HAMBANTOTA DGH,MO PSYCHIATRY,1,NO,MO Psychiatry
132,HAMBANTOTA,HAMBANTOTA DGH,SHO SURGERY,1,NO,SHO Surgery
134,HAMBANTOTA,TANGALLE BH,MO ANAESTHESIA,1,NO,MO Anaesthesia / ICU
135,HAMBANTOTA,TANGALLE BH,MO ICU,1,NO,MO Anaesthesia / ICU
202,KANDY,RAMBUKEWELA PMCU,MO,1,NO,MO
204,KANDY,THELDENIYA BH,MO OPD,2,NO,MO OPD / ETU
227,KURUNEGALA,DAMBADENIYA BH,MO PAEDIATRICS,1,NO,MO Paediatrics
234,KURUNEGALA,KURUNEGALA TEACHING HOSPITAL,MO ANAESTHESIA,1,NO,MO Anaesthesia / ICU
235,KURUNEGALA,KURUNEGALA TEACHING HOSPITAL,MO MEDICO LEGAL,4,NO,MO Medico Legal
236,KURUNEGALA,KURUNEGALA TEACHING HOSPITAL,MO ORTHOPAEDIC,1,NO,MO Orthopaedic
269,MATALE,MATALE DGH,SHO MEDICINE,2,NO,SHO Medicine
270,MATALE,MATALE DGH,SHO SURGERY,1,NO,SHO Surgery
271,MATALE,MATALE RDHS,. MO RELIEF,1,NO,MO Relief
277,MATARA,KAMBURUPITIYA BH,SHO PAEDIATRICS,1,NO,SHO Paediatrics
198,KANDY,MENIKHINNA DH,MO,1,YES,MO
232,KURUNEGALA,KEKUNAGALLA PMCU,MO,1,NO,MO
136,HAMBANTOTA,THISSAMAHARAMAYA BH,SHO GYN & OBS,1,NO,SHO GYN & OBS
137,HAMBANTOTA,THISSAMAHARAMAYA BH,SHO PAEDIATRICS,1,NO,SHO Paediatrics
206,KANDY,UDUNUWARA MOH,AMOH,1,NO,AMOH
231,KURUNEGALA,KATUPOTHA DH,MO,4,YES,MO
239,KURUNEGALA,NIKAWERATIYA BH,SHO SURGERY,1,NO,SHO Surgery
264,MATALE,DAMBULLA BH,MO EYE,1,NO,MO Eye
265,MATALE,DAMBULLA BH,ISHO PAEDIATRIC,1,NO,MO Paediatrics
282,MATARA,PALLEGAMA DH,MO,1,YES,MO
322,NUWARA ELIYA,DICKOYA BH,MO OPD,1,NO,MO OPD / ETU
323,NUWARA ELIYA,DICKOYA BH,SHO SURGERY,1,NO,SHO Surgery
326,NUWARA ELIYA,KOTAGALA DH,MO,1,YES,MO
367,PUTTALAM,TPUTTALAM BH,MO MEDICINE i,2,NO,MO Medicine
368,PUTTALAM,PUTTALAM BH,MO MEDICO LEGAL,1,NO,MO Medico Legal
369,PUTTALAM,PUTTALAM BH,MO RADIOLOGY,1,NO,MO Radiology
370,PUTTALAM,PUTTALAM BH,SHO PAEDIATRICS,1,NO,SHO Paediatrics
371,PUTTALAM,PUTTALAM CHEST,CLINIC MO CHEST CLINIC,1,NO,MO
382,RATNAPURA,KAHAWATTA BH,MO EYE,1,NO,MO Eye
383,RATNAPURA,KAHAWATTA BH,MO RADIOLOGY,1,NO,MO Radiology
395,RATNAPURA,WELKENIYAYA PMCU,Mo,1,NO,MO
337,NUWARA ELIYA,RAMBODA KOTMALE DH,MO,1,YES,MO
200,KANDY,PATTIYAGAMA PALLEGAMA DH,MO,1,YES,MO
228,KURUNEGALA,GALGAMUWA BH,MO ANAESTHESIA/ ICU,1,NO,MO Anaesthesia / ICU
229,KURUNEGALA,GALGAMUWA BH,MO MEDICINE,1,NO,MO Medicine
230,KURUNEGALA,GALGAMUWA BH,MO OPD/ETU,1,NO,MO OPD / ETU
237,KURUNEGALA,MAHAGIRILLA DH,MO,2,YES,MO
274,MATARA,DENIYAYA BH,MO GYN & OBS,1,NO,MO GYN & OBS
275,MATARA,DENIYAYA BH,MO PAEDIATRICS,1,NO,MO Paediatrics
284,MATARA,URUBOKKA DH,MO,1,YES,MO
327,NUWARA ELIYA,LINDULA DH,MO,1,YES,MO
330,NUWARA ELIYA,NUWARA ELIYA DGH,MO A&E,1,NO,MO A&E
331,NUWARA ELIYA,NUWARA ELIYA DGH,MO ANAESTHESIA,1,NO,MO Anaesthesia / ICU
332,NUWARA ELIYA,NUWARA ELIYA DGH,MO GU SURGERY,1,NO,MO Urology / GU
333,NUWARA ELIYA,NUWARA ELIYA DGH,MO MICU,1,NO,MO ICU
334,NUWARA ELIYA,NUWARA ELIYA DGH,MO ONCOLOGY,1,NO,MO Oncology
335,NUWARA ELIYA,NUWARA ELIYA DGH,MO OPD,1,NO,MO OPD / ETU
336,NUWARA ELIYA,NUWARA ELIYA DGH,MO PBU,1,NO,MO PBU / SCBU
360,PUTTALAM,ANAWILUNDAWA DH,MO,1,YES,MO
366,PUTTALAM,MUNDALAMA MOH,AMOH,1,NO,AMOH
374,RATNAPURA,AYAGAMA DH,MO,1,YES,MO
45,ANURADHAPURA,HABARANA DH,MO,1,YES,MO
196,KANDY,KOLONGODA DH,MO,1,YES,MO
273,MATALE,YATAWATHTHA DH,MO,4,YES,MO
338,NUWARA ELIYA,RIKILLAGASKADA BH,MO ETU,1,NO,MO OPD / ETU
203,KANDY,SANGARAJAPURA DH,MO,1,YES,MO
46,ANURADHAPURA,KEKIRAWA BH,MO,1,NO,MO
66,BADULLA,DAMBETENNA DH,MO,1,YES,MO
73,BADULLA,MAHIYANGANAYA BH,MO ANAESTHESIA,2,NO,MO Anaesthesia / ICU
78,BADULLA,WELIMADA BH,MO,1,NO,MO
79,BADULLA,WELIMADA BH,MO MEDICINE,2,NO,MO Medicine
80,BADULLA,WELIMADA BH,MO PAEDIATRICS,1,NO,MO Paediatrics
190,KANDY,GALPIHILLA DH,MO,1,YES,MO
205,KANDY,UDAGAMA ATABAGE DH,MO,2,YES,MO
240,KURUNEGALA,NIKAWEWA DH,MO,1,YES,MO
341,NUWARA ELIYA,WALAPANE DH,MO,1,YES,MO
364,PUTTALAM,KOTTUKACHCHIYA DH,MO,1,YES,MO
372,PUTTALAM,WANATHAWILLUWA DH,Mo,1,YES,MO
379,RATNAPURA,EMBILIPITIYA DGH,MO ETU,1,NO,MO OPD / ETU
380,RATNAPURA,EMBILIPITIYA DGH,MO PAEDIATRICS,1,NO,MO Paediatrics
381,RATNAPURA,EMBILIPITIYA DGH,MO VP OPD,1,NO,MO OPD / ETU
65,BADULLA,BANDARAWELA BH,MO ETU,2,NO,MO OPD / ETU
35,ANURADHAPURA,ANURADHAPURA RDHS,MO RELIEF,1,NO,MO Relief
36,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,MO ANAESTHESIA,3,NO,MO Anaesthesia / ICU
37,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,MO CARDIOLOGY,1,NO,MO Cardiology
38,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,MO ETU,1,NO,MO OPD / ETU
39,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,MO NEURO SURGERY ICU,1,NO,MO Neurology / Neurosurgery
40,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,MO PAEDIATRIC SURGERY,1,NO,MO Surgery
41,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,MO PATHOLOGY,1,NO,MO Pathology / Lab
42,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,MO PBU/NICU,1,NO,MO ICU
43,ANURADHAPURA,ANURADHAPURA TEACHING HOSPITAL,SHO GYN & OBS,1,NO,SHO GYN & OBS
44,ANURADHAPURA,GALNEWA DH,MO,1,YES,MO
59,BADULLA,BADULLA TEACHING HOSPITAL,MO ENT,1,NO,MO ENT
60,BADULLA,BADULLA TEACHING HOSPITAL,MO NEUROLOGY,1,NO,MO Neurology / Neurosurgery
61,BADULLA,BADULLA TEACHING HOSPITAL,MO ONCO SURGERY,1,NO,MO Oncology
62,BADULLA,BADULLA TEACHING HOSPITAL,SHO MEDICINE,1,NO,SHO Medicine
63,BADULLA,BADULLA TEACHING HOSPITAL,SHO PAEDIATRICS,2,NO,SHO Paediatrics
64,BADULLA,BADULLA TEACHING HOSPITAL,SHO SURGERY,1,NO,SHO Surgery
67,BADULLA,DIYATHALAWA BH,MO ANAESTHESIA,1,NO,MO Anaesthesia / ICU
68,BADULLA,DIYATHALAWA BH,MO GYN & OBS,1,NO,MO GYN & OBS
70,BADULLA,GLANMORE DH,MO,1,YES,MO
71,BADULLA,KEPPETIPOLA PMCU,MO,1,NO,MO
48,ANURADHAPURA,MEDAWACHCHIYA BH,MO,1,NO,MO
49,ANURADHAPURA,NOCHCHIYAGAMA DH,MO,1,YES,MO
53,ANURADHAPURA,THAMBUTTEGAMA BH,MO ETU,1,NO,MO OPD / ETU
54,ANURADHAPURA,THAMBUTTEGAMA BH,MO OPD,1,NO,MO OPD / ETU
55,ANURADHAPURA,THAMBUTTEGAMA BH,MO PBU,2,NO,MO PBU / SCBU
56,ANURADHAPURA,THAMBUTTEGAMA BH,SHO SURGERY,1,NO,SHO Surgery
75,BADULLA,RIDEEMALIYADDA MOH,AMOH,1,NO,AMOH
77,BADULLA,UVA PARANAGAMA DH,MO,1,YES,MO
267,MATALE,LAGGALA PALLEGAMA MOH,AMOH,1,NO,AMOH
292,MONERAGALA,KATHARAGAMA DH,MO,1,YES,MO
348,POLONNARUWA,POLONNARUWA DGH,MO A&E,1,NO,MO A&E
349,POLONNARUWA,POLONNARUWA DGH,MO MICROBIOLOGY,1,NO,MO Pathology / Lab
350,POLONNARUWA,POLONNARUWA DGH,MO RADIOLOGY,1,NO,MO Radiology
351,POLONNARUWA,POLONNARUWA DGH,MO SICU,1,NO,MO ICU
352,POLONNARUWA,POLONNARUWA DGH,MO UROLOGY,1,NO,MO Urology / GU
353,POLONNARUWA,POLONNARUWA DGH,SHO SURGERY,1,NO,SHO Surgery
354,POLONNARUWA,POLONNARUWA RDHS,MO RELIEF,1,NO,MO Relief
355,POLONNARUWA,POLONNARUWA RENAL HOSPITAL,MO NEPHROLOGY,1,NO,MO Nephrology
356,POLONNARUWA,POLONNARUWA RENAL HOSPITAL,MO PAEDIATRIC NEPHROLOGY,1,NO,MO Paediatrics
357,POLONNARUWA,POLONNARUWA RENAL HOSPITAL,MO VASCULAR & TRANSPLANT,1,NO,MO Vascular Surgery
69,BADULLA,GIRANDURUKOTTE DH,MO,4,YES,MO
72,BADULLA,LUNUGALA DH,MO,1,YES,MO
285,MONERAGALA,BIBILE BH,MO ANAESTHESIA/ ICU,1,NO,MO Anaesthesia / ICU
286,MONERAGALA,BIBILE BH,MO ETU/ OPD,1,NO,MO OPD / ETU
287,MONERAGALA,BIBILE BH,MO GYN & OBS,1,NO,MO GYN & OBS
288,MONERAGALA,BIBILE BH,MO MEDICINE,1,NO,MO Medicine
289,MONERAGALA,BUTHTHALA DH,MO,1,YES,MO
343,POLONNARUWA,ATHTHANAKADAWALA DH,MO,1,YES,MO
358,POLONNARUWA,PULASTHIGAMA (BOP 400) DH,MO,1,YES,MO
74,BADULLA,NADUMGAMUWA DH,MO,1,YES,MO
345,POLONNARUWA,MEDIRIGIRIYA BH,MO ANAESTHESIA/ICU,2,NO,MO Anaesthesia / ICU
346,POLONNARUWA,MEDIRIGIRIYA BH,MO NEPHROLOGY,1,NO,MO Nephrology
347,POLONNARUWA,MEDIRIGIRIYA BH,MO PSYCHIATRY,1,NO,MO Psychiatry
359,POLONNARUWA,SEVANAPITIYA PMCU,MO,1,NO,MO
76,BADULLA,THENNAPANGUWA PMCU,MO,1,NO,MO
50,ANURADHAPURA,PADAVIYA BH,MO,2,NO,MO
51,ANURADHAPURA,PADAVIYA BH,MO GYN & OBS,1,NO,MO GYN & OBS
52,ANURADHAPURA,PADAVIYA BH,MO SURGERY,1,NO,MO Surgery
294,MONERAGALA,MONERAGALA DGH,MO ANAESTHESIA,2,NO,MO Anaesthesia / ICU
295,MONERAGALA,MONERAGALA DGH,MO ENT,1,NO,MO ENT
296,MONERAGALA,MONERAGALA DGH,MO GU SURGERY,1,NO,MO Urology / GU
297,MONERAGALA,MONERAGALA RDHS,MO RELIEF,1,NO,MO Relief
342,POLONNARUWA,ARALAGANWILA DH,MO,1,YES,MO
344,POLONNARUWA,DIMBULAGALA MANAMPITIYA DH,MO,1,YES,MO
397,TRINCOMALEE,KANTALE BH,MO ANAESTHESIA,1,NO,MO Anaesthesia / ICU
398,TRINCOMALEE,KANTALE 8H,MO MEDICINE,1,NO,MO Medicine
399,TRINCOMALEE,KANTALE BH,MO OPD/ETU,1,NO,MO OPD / ETU
400,TRINCOMALEE,KANTALE BH,MO PAEDIATRICS,1,NO,MO Paediatrics
17,AMPARA,DEHIATTAKANDIYA BH,MO ANAESTHESIA/ICU,1,NO,MO Anaesthesia / ICU
18,AMPARA,DEHIATTAKANDIYA BH,MO BLOOD BANK,1,NO,MO Blood Bank
19,AMPARA,DEHIATTAKANDIYA BH,MO GYN & OBS,2,NO,MO GYN & OBS
20,AMPARA,DEHIATTAKANDIYA BH,MO MEDICINE,2,NO,MO Medicine
21,AMPARA,DEHIATTAKANDIYA BH,MO MENTAL HEALTH,1,NO,MO Mental Health
22,AMPARA,DEHIATTAKANDIYA BH,MO SURGERY,2,NO,MO Surgery
298,MONERAGALA,SIYAMBALANDUWA BH,MO,1,NO,MO
299,MONERAGALA,SIYAMBALANDUWA BH,MO OPD/ETU,1,NO,MO OPD / ETU
1,AMPARA,AMPARA DGH,MO A&E,1,NO,MO A&E
2,AMPARA,AMPARA DGH,MO ANAESTHESIA,2,NO,MO Anaesthesia / ICU
3,AMPARA,AMPARA DGH,MO ENDOCRINOLOGY,1,NO,MO Endocrinology
4,AMPARA,AMPARA DGH,MO ENT,1,NO,MO ENT
5,AMPARA,AMPARA DGH,MO EYE,1,NO,MO Eye
6,AMPARA,AMPARA DGH,MO MICU,1,NO,MO ICU
7,AMPARA,AMPARA DGH,MO NICU,1,NO,MO ICU
8,AMPARA,AMPARA DGH,MO OPD,1,NO,MO OPD / ETU
9,AMPARA,AMPARA DGH,MO RADIOLOGY,1,NO,MO Radiology
10,AMPARA,AMPARA DGH,MO RESPIRATORY MEDICINE,1,NO,MO Respiratory
11,AMPARA,AMPARA DGH,MO RHEUMATOLOGY,1,NO,MO Rheumatology
12,AMPARA,AMPARA DGH,MO SICU,1,NO,MO ICU
13,AMPARA,AMPARA DGH,SHO GYN & OBS,1,NO,SHO GYN & OBS
14,AMPARA,AMPARA DGH,SHO MEDICINE,1,NO,SHO Medicine
15,AMPARA,AMPARA DGH,SHO SURGERY,1,NO,SHO Surgery
16,AMPARA,AMPARA RDHS,. MO MENTAL HEALTH,1,NO,MO Mental Health
