INDEX,DISTRICT,INSTITUTE,DESIGNATION,VACANCIES,ESTIMATED_TRAVEL_TIME_HOURS,IS_DIFFICULT,IS_DH,DESIG_GROUP
104,COLOMBO,COLOMBO RDHS,MO RELIEF,1,0.6,NO,NO,MO Relief
181,KALUTARA,HORANA DGH,MO MEDICO LEGAL,1,0.6,NO,NO,MO Medico Legal
185,KALUTARA,PIMBURA BH,MO PAEDIATRICS,1,0.7,NO,NO,MO Paediatrics
124,GAMPAHA,KALAGEDIHENA PMCU,Mo,1,0.9,NO,NO,MO
186,KALUTARA,WARAKAGODA PMCU,MO,1,1.0,NO,NO,MO
386,RATNAPURA,NARISSA PMCU,Mo,1,1.1,YES,NO,MO
108,GALLE,ELPITIYA BH,MO ETU,1,1.2,NO,NO,MO OPD / ETU
109,GALLE,ELPITIYA BH,Mo OPD,1,1.2,NO,NO,MO OPD / ETU
110,GALLE,ELPITIYA BH,SHO SURGERY,1,1.2,NO,NO,SHO Surgery
123,GAMPAHA,ANDIAMBALAMA PMCU,Mo,1,1.2,NO,NO,MO
187,KALUTARA,YATTAPATHA PMCU,MO,1,1.3,YES,NO,MO
378,RATNAPURA,EHELIYAGODA BH,MO ETU,1,1.3,NO,NO,MO OPD / ETU
105,GALLE,BALAPITIVA BH,MO ETU,1,1.4,NO,NO,MO OPD / ETU
106,GALLE,BALAPITIYA BH,MO SCBU,1,1.4,NO,NO,MO PBU / SCBU
107,GALLE,BALAPITIYA BH,SHO PAEDIATRICS,1,1.4,NO,NO,SHO Paediatrics
116,GALLE,FOR WOMEN,TEACHING GALLE MO PBU,1,1.5,NO,NO,MO PBU / SCBU
184,KALUTARA,MOLKAWA PMCU,MO,1,1.5,YES,NO,MO
209,KEGALLE,DERANIYAGALA DH,MO,1,1.5,NO,YES,MO
111,GALLE,GALLE NATIONAL HOSPITAL,ANESTHESIA,1,1.6,NO,NO,MO Anaesthesia / ICU
112,GALLE,GALLE NATIONAL HOSPITAL,MO NEPHROLOGY,1,1.6,NO,NO,MO Nephrology
113,GALLE,GALLE NATIONAL HOSPITAL,MO ONCO SURGERY,1,1.6,NO,NO,MO Oncology
114,GALLE,GALLE NATIONAL HOSPITAL,MO PAEDIATRICS PULMONOLOGY,1,1.6,NO,NO,MO Paediatrics
115,GALLE,GALLE ROHS,MO RELIEF,1,1.6,NO,NO,MO Relief
118,GALLE,HIKKADUWA DH,MO,1,1.6,NO,YES,MO
389,RATNAPURA,RATHNAPURA RDHS,MO RELIEF,1,1.6,NO,NO,MO Relief
390,RATNAPURA,RATHNAPURA TEACHING HOSPITAL,MO ANAESTHESIA/ICU,1,1.6,NO,NO,MO Anaesthesia / ICU
391,RATNAPURA,RATHNAPURA TEACHING HOSPITAL,MO NICU,1,1.6,NO,NO,MO ICU
392,RATNAPURA,RATHNAPURA TEACHING HOSPITAL,MO PLASTIC SURGERY,1,1.6,NO,NO,MO Surgery
393,RATNAPURA,RATHNAPURA TEACHING HOSPITAL,MO VASCULAR SURGERY,1,1.6,NO,NO,MO Vascular Surgery
394,RATNAPURA,RATHNAPURA TEACHING HOSPITAL,SHO PAEDIATRICS,1,1.6,NO,NO,SHO Paediatrics
208,KEGALLE,BELIGALA DH,MO,1,1.7,NO,YES,MO
216,KEGALLE,MAHAPALLEGAMA DH,MO,1,1.7,NO,YES,MO
213,KEGALLE,KEGALLE DGH,MO PBU,1,1.8,NO,NO,MO PBU / SCBU
214,KEGALLE,KEGALLE RDHS,MO RELIEF,1,1.8,NO,NO,MO Relief
218,KEGALLE,WARAKAPOLA BH,MO GYN & OBS,1,1.8,NO,NO,MO GYN & OBS
238,KURUNEGALA,MINUWANGETE PMCU,MO,1,1.8,NO,NO,MO
365,PUTTALAM,MARAWILA BH,MO PBU,1,1.8,NO,NO,MO PBU / SCBU
277,MATARA,KAMBURUPITIYA BH,SHO PAEDIATRICS,1,1.9,NO,NO,SHO Paediatrics
278,MATARA,KIRINDA PUHULWELLA DH,MO,1,1.9,NO,YES,MO
279,MATARA,MARAMBA DH,MO,1,1.9,NO,YES,MO
280,MATARA,MATARA DGH,MO ORTHOPAEDIC,1,1.9,NO,NO,MO Orthopaedic
281,MATARA,MATARA DGH,SHO SURGERY,1,1.9,NO,NO,SHO Surgery
361,PUTTALAM,CHILAW DGH,MO ANAESTHESIA/ICU,1,1.9,NO,NO,MO Anaesthesia / ICU
362,PUTTALAM,CHILAW DGH,MO CHEMICAL PATHOLOGY,1,1.9,NO,NO,MO Pathology / Lab
363,PUTTALAM,CHILAW DGH,MO RADIOLOGY,1,1.9,NO,NO,MO Radiology
384,RATNAPURA,KALAWANA BH,MO ETU,1,1.9,NO,NO,MO OPD / ETU
385,RATNAPURA,KOLAMBAGEARA PMCU,Mo,1,1.9,NO,NO,MO
120,GALLE,NELUWA DH,Mo,1,2.0,NO,YES,MO
234,KURUNEGALA,KURUNEGALA TEACHING HOSPITAL,MO ANAESTHESIA,1,2.0,NO,NO,MO Anaesthesia / ICU
235,KURUNEGALA,KURUNEGALA TEACHING HOSPITAL,MO MEDICO LEGAL,4,2.0,NO,NO,MO Medico Legal
236,KURUNEGALA,KURUNEGALA TEACHING HOSPITAL,MO ORTHOPAEDIC,1,2.0,NO,NO,MO Orthopaedic
215,KEGALLE,KIRIPORUWA WATTA (ERH) DH,MO,1,2.1,NO,YES,MO
217,KEGALLE,MAWANELLA BH,MO EYE,1,2.1,NO,NO,MO Eye
232,KURUNEGALA,KEKUNAGALLA PMCU,MO,1,2.1,NO,NO,MO
374,RATNAPURA,AYAGAMA DH,MO,1,2.1,NO,YES,MO
